event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE37590,10/7/2023,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,West Bank,Hebron,,Hebron,31.5294,35.0938,1,Ma'an News Agency; Palestine News and Information Agency,National,"On 7 October 2023, Israeli soldiers fired live bullets towards Palestinians at Bir Sabaa neighborhood in Hebron (Hebron), injuring 10 of them. They also shot a Palestinian at Wadi an Nasara neighborhood and injured him.",0,,1753954955
PSE37596,10/7/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - West (Municipal Stadium),31.3484,34.2961,1,Haaretz,Regional,"On 7 October 2023, Israeli warplanes conducted an airstrike in Khan Yunis (Khan Yunis - West (Municipal Stadium)). The bomb landed near the Nasser Hospital, injuring several people. At night, an Israeli warplane also struck and demolished a mosque in the same area. Casualties unknown.",0,,1753954955
PSE37614,10/7/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Shujaiyya,31.4988,34.4699,1,Palestine News and Information Agency,National,"On 7 October 2023, at approximately 14:47, Israeli warplanes conducted a number of raids where they fired several rockets towards Gaza - Shujaiyya (Gaza City), resulting in at least 1 civilian being killed and dozens of injuries.",1,,1759789988
PSE37618,10/7/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza,31.5045,34.4743,2,Palestine News and Information Agency,National,"On 7 October 2023, Israeli warplanes conducted a number of airstrikes in Gaza (Gaza City), resulting in 3 civilians being killed.",3,,1759789988
PSE37619,10/7/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis,31.3502,34.3081,1,Palestine News and Information Agency,National,"On 7 October 2023, Israeli warplanes conducted a number of airstrikes in Khan Yunis (Khan Yunis), killing 1 civilian.",1,,1753954955
PSE37624,10/7/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Northern Remal,31.524,34.4505,1,Palestine News and Information Agency,National,"On 7 October 2023, Israeli warplanes struck a 12 story residential building with at least 6 rockets in Gaza - Northern Remal (Gaza city), resulting in its destruction. Casualties unknown.",0,,1759789988
PSE37639,10/7/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Bani Suheila,31.3424,34.325,2,Newpress; Twitter,New media-National,"On 7 October 2023, around 23:59, Israeli warplanes struck a house east of Khan Yunis (coded as Bani Suheila). Casualties unknown.",0,,1753954955
PSE37585,10/7/2023,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,West Bank,Al Quds,,Al Quds - Old City,31.7767,35.2342,1,Ma'an News Agency,National,"On 7 October 2023, Israeli military forces physically assaulted Palestinian youths in Al Quds - Old City (Al Quds), and arrested one of them.",0,,1757377124
PSE39367,10/7/2023,2023,1,Political violence,Violence against civilians,Attack,Settlers (Israel),,3,Civilians (Palestine),Farmers (Palestine),7,37,Civilian targeting,275,Middle East,Palestine,West Bank,Salfit,,Iskaka,32.1036,35.2247,1,Yesh Din,Other,"On 7 October 2023, armed Israeli settlers shot at Palestinian vehicles and Palestinian farmers in Iskaka (Salfit, West Bank), causing damage to two cars.",0,,1753954955
PSE37587,10/7/2023,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,West Bank,Al Quds,,Al Quds - Shaykh Jarrah,31.7929,35.2317,1,Ma'an News Agency,National,"On 7 October 2023, Israeli soldiers presumably physically assaulted Palestinians in Al Quds - Shaykh Jarrah neighborhood (Al Quds), and arrested a youth.",0,,1757377124
