event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE49941,4/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Ash Sheikh Naser,31.3398,34.3116,1,Palestine News and Information Agency,National,"On 1 April 2024, Israeli warplanes struck a group of Palestinians near the roundabout of Khan Yunis - Ash Sheikh Naser (Khan Yunis, Gaza Strip), leaving 4 fatalities.",4,,1753955113
PSE49930,4/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Arab 48; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 April 2024, Israeli warplanes struck a passing car in An Nusayrat refugee camp (Deir El Balah, Gaza Strip), leaving 2 fatalities and a number of injuries.",2,,1753955113
PSE49935,4/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Ad Darraj,31.5172,34.4642,1,Arab 48; Newpress; Palestinian Ministry of Health; Twitter,Other-New media,"On 1 April 2024, Israeli warplanes struck a house in Gaza - Ad Darraj (Gaza City, Gaza Strip) leading to unspecified number of fatalities. [Palestinian Ministry of Health reported 333037 fatalities upto 1 April 2024. 44 fatalities not attributed to specific events split across 2 events on 1 April. 22 fatalities coded to this event.]",22,,1759790002
PSE49926,4/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Al Mughraqa,31.4675,34.4097,1,Palestinian Ministry of Health; Quds News Network; Twitter,Other-New media,"On 1 April 2024, Israeli warplanes struck a house in Al Mughraqa (Gaza City, Gaza Strip) leading to unspecified number of fatalities. [Palestinian Ministry of Health reported 333037 fatalities upto 1 April 2024. 44 fatalities not attributed to specific events split across 2 events on 1 April. 22 fatalities coded to this event.]",22,,1753955113
PSE49953,4/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Yibna,31.2842,34.2482,2,Palestine News and Information Agency; PLO Negotiations Affairs Department,Other-National,"On 1 April 2024, Israeli warplanes struck targets east of Rafah, coded to Yibna (Rafah, Gaza Strip) killing 5 persons. Meanwhile, artillery and tanks shelled targets east of the city. Fatalities were coded as at least 5.",5,,1753955113
PSE49932,4/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Brazil Camp,31.2718,34.2532,1,Newpress; Quds News Network; Twitter,New media-National,"On 1 April 2024, Israeli warplanes struck targets in Brazil Camp refugee camp (Rafah, Gaza Strip), leaving 6 fatalities.",6,,1753955113
PSE49921,4/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (International),Aid Workers (International),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Brawk,31.4204,34.339,2,Dunia Al Watan; Ma'an News Agency; Newpress; Palestine News and Information Agency; Times of Israel; Twitter,New media-National,"On 1 April 2024, Israeli warplanes struck a convoy consisting of 3 vehicles carrying international aid workers from the World Central Kitchen while driving on the coastal road west of Deir al Balah, coded to Al Brawk (Deir El Balah, Gaza Strip). As a result, 7 international aid workers were killed. The victims had Australia, Poland, United Kingdom, Palestine and dual Canada-U.S. citizenships. IDF admitted the incident took place my mistake and promised a thorough investigation. This event involved violence over aid.",7,,1767742780
PSE49970,4/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - City Centre,31.3419,34.3015,1,Palestine News and Information Agency,National,"On 2 April 2024, Israeli warplanes struck houses in Khan Yunis - City Centre (Khan Yunis, Gaza Strip), leaving fatalities and injuries. Unspecified number of fatalities coded as 10. Also, 3 Palestinians were killed in an airstrike that targeted the Paltel headquarters in the city centre. Total fatalities coded as 13.",13,,1753955113
PSE49977,4/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - West,31.4525,34.3756,1,Arab 48; Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 April 2024, Israeli warplanes struck a house west of An Nusayrat camp (An Nusayrat - West, Deir El Balah, Gaza Strip), leaving 6 fatalities, including 2 women and a child.",6,,1753955113
PSE50017,4/2/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Deir al Balah Camp,31.4249,34.34,2,Arab 48; PLO Negotiations Affairs Department; Quds News Network; Twitter,Other-New media,"On 2 April 2024, Israeli artillery and tanks shelled targets east of Deir El Balah including Abu Al Ajin area, coded to Deir al Balah Camp (Deir al Balah, Gaza Strip), killing 2 Palestinians and injuring others.",2,,1765850627
