event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE42742,1/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sheikh Radwan,31.5349,34.4667,2,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 January 2024, Israeli warplanes carried out airstrikes north of Gaza city and in Al Yarmouk street, Gaza - Sheikh Radwan (Gaza City, Gaza Strip) killing a Palestinian. Meanwhile, the artillery struck targets in the area.",1,,1759789988
PSE42744,1/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - City Centre,31.3419,34.3015,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 January 2024, Israeli warplanes carried out airstrikes in Khan Yunis - City Centre (Khan Yunis, Gaza Strip), leaving a number of injuries. Meanwhile, artillery struck targets in the area. Casualties unknown.",0,,1753954979
PSE42745,1/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis,31.3502,34.3081,1,Ma'an News Agency; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 January 2024, Israeli warplanes struck houses in Khan Yunis city (Khan Yunis, Gaza Strip), leaving 9 Palestinian fatalities and dozens of injuries.",9,,1753954979
PSE42765,1/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Maen,31.336,34.3172,1,Quds News Network; Twitter,New media-National,"On 1 January 2024, Israeli warplanes carried out airstrikes in the vicinity of Maen School in Khan Yunis - Maen (Khan Yunis, Gaza Strip), injuring 2 Palestinians.",0,,1753954979
PSE42813,1/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - West (Municipal Stadium),31.3484,34.2961,2,Palestine News and Information Agency,National,"On 1 January 2024, Israeli artillery shelled a house near Belal Mosque west of Khan Yunis, Khan Yunis - West (Municipal Stadium) - Gaza Strip, killing a Palestinian and injuring several others.",1,,1753954979
PSE42737,1/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Maghazi,31.4214,34.3865,1,Liveuamap; Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,Local partner-New media,"On 1 January 2024, Israeli warplanes struck a house in Al Maghazi refugee camp (Deir El Balah, Gaza Strip), leaving a number of injuries among children. Also, 18 persons were killed and several others were injured in separate airstrikes targeting houses. Meanwhile, artillery shelled the area and killed 10 persons. Total confirmed fatalities were 28.",28,,1753954979
PSE42743,1/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Deir al Balah,31.4178,34.3503,1,Al Ghad (Jordan); Ma'an News Agency; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 January 2024, Israeli warplanes struck a house in Deir al Balah city (Deir El Balah, Gaza Strip), leaving 15 fatalities and a number of injuries. Meanwhile, artillery shelled targets in the area.",15,,1753954979
PSE42757,1/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - West,31.4525,34.3756,1,Quds News Network; Twitter,New media-National,"On 1 January 2024, Israeli gunboats struck targets west of An Nusayrat (An Nusayrat - West, Deir El Balah, Gaza Strip), injuring a Palestinian fisher while driving a car.",0,,1753954979
PSE42762,1/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,2,Quds News Network; Twitter,New media-National,"On 1 January 2024, Israeli warplanes struck 2 houses in block C east of An Nusayrat refugee camp (Deir El Balah, Gaza Strip). Casualties unknown.",0,,1753954979
PSE42763,1/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Liveuamap; Quds News Network; Twitter,Local partner-New media,"On 1 January 2024, Israeli warplanes struck a group of Palestinians near Abu Hmaiseh school in Al Burayj refugee camp (Deir El Balah, Gaza Strip), killing a Palestinian and injuring another one.",1,,1753954979
