event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE53643,6/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Arab 48; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 June 2024, Israeli warplanes struck 2 houses in Al Burayj refugee camp (Deir El Balah, Gaza Strip), leaving a number of injuries. Also, the artillery shelled areas in Al Burayj. Casualties unknown.",0,,1753955132
PSE53644,6/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 June 2024, Israeli UAVs opened fire in Tal as Sultan (Rafah, Gaza Strip), leaving a number of injuries. Also, warplanes struck several targets and the artillery shelled the same area. Casualties unknown.",0,,1762829569
PSE53654,6/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - North,31.4591,34.3923,2,Arab 48; Palestinian Ministry of Health; Quds News Network; Twitter,Other-New media,"On 1 June 2024, Israeli artillery shelled areas in An Nusayrat - North (Deir El Balah, Gaza Strip) and tanks opened fire. Casualties unknown. An unspecified number of bodies were found northwest of An Nusayrat [coded to this location]. [Palestinian Ministry of Health reported 36654 fatalities between 7 October - 5 June 2024. 50 fatalities not attributed to specific events added to 1 event on 1 June 2024. 50 fatalities coded to this event.]",50,,1753955132
PSE53648,6/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Az Zaytun,31.4964,34.4522,1,Arab 48; Newpress; Quds News Network; Twitter,New media-National,"On 1 June 2024, Israeli warplanes struck a house and a school hosting displaced people in Gaza - Az Zaytun (Gaza City, Gaza Strip), leaving 2 fatalities and several injuries. Also, Israeli tanks opened fire and the artillery shelled the same area leaving unspecified fatalities. Unspecified fatalities coded as 3. Total fatalities coded as 5.",5,,1759790002
PSE53645,6/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Khirbet al Adas,31.2855,34.2714,2,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 June 2024, Israeli warplanes struck the al Zuhor neighborhood north of Rafah, coded to Khirbet al Adas (Rafah, Gaza Strip), leaving a number of injuries. Also, warplanes targeted a house in Musabbah area north of Rafah. Casualties unknown.",0,,1753955132
PSE53669,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Deir al Balah Camp,31.4249,34.34,2,Palestine News and Information Agency; PLO Negotiations Affairs Department,Other-National,"On 2 June 2024, Israeli artillery and tanks shelled targets and houses east of Deir al Balah, coded to Deir al Balah Camp (Deir El Balah, Gaza Strip). Casualties unknown.",0,,1765850627
PSE53672,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Ad Darraj,31.5172,34.4642,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 June 2024, Israeli warplanes struck 2 houses in Gaza - Ad Darraj (Gaza City, Gaza Strip), leaving at least 3 fatalities, including a woman and causing a number of injuries.",3,,1759790002
PSE53673,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sabra,31.5086,34.4493,1,Arab 48; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 June 2024, Israeli warplanes struck targets (including 2 houses) near Al Sunna mosque in Gaza - Sabra (Gaza City, Gaza Strip), leaving 8 fatalities. Also, the Israeli artillery shelled targets in Sabra, killing at least 1 girl. Fatalities coded as at least 9.",9,,1759790002
PSE53683,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - North,31.4591,34.3923,2,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 June 2024, Israeli artillery shelled houses northwest of An Nusayrat camp, coded to An Nusayrat - North (Deir El Balah, Gaza Strip). Casualties unknown.",0,,1753955132
PSE53684,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Brawk,31.4204,34.339,2,Palestine News and Information Agency,National,"On 2 June 2024, Israeli gunboats opened fire toward Palestinian houses at the coastal areas of Deir al Blah, coded to Al Brawk (Deir El Balah, Gaza Strip). Casualties unknown.",0,,1767742780
PSE53687,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Az Zawayda,31.4284,34.366,1,Arab 48; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 June 2024, Israeli warplanes struck a group of people in Az Zawayda (Deir El Balah, Gaza Strip), leaving 5 fatalities and several injuries.",5,,1767742780
PSE53688,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Arab 48; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 June 2024, Israeli warplanes struck a house in al-Ishrin street in An Nusayrat camp (Deir El Balah, Gaza Strip), leaving 4 fatalities and a number of injuries.",4,,1753955132
PSE53695,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Arab 48; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 June 2024, Israeli warplanes struck a house and other targets in Al Burayj camp (Deir El Balah, Gaza Strip), leaving at least 6 fatalities.",6,,1753955132
PSE53678,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,2,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 June 2024, Israeli warplanes struck several houses in Tabasiyeh area west of Rafah, coded to Tal as Sultan (Rafah, Gaza Strip), and the Israeli artillery shelled areas west of Rafah. Casualties unknown.",0,,1762829569
PSE53680,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 June 2024, Israeli helicopters opened fire and warplanes struck a house in Tal as Sultan (Rafah, Gaza Strip). Casualties unknown. Also, the Israeli artillery shelled Tal as Sultan area. Casualties unknown.",0,,1762829569
PSE53671,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Yibna,31.2842,34.2482,2,Arab 48; Palestine News and Information Agency; PLO Negotiations Affairs Department; Quds News Network; Twitter,Other-New media,"On 2 June 2024, Israeli warplanes struck targets in Abu Halawah area east of Rafah, coded to Yibna (Rafah, Gaza Strip), leaving 2 fatalities and a number of injuries. Also, Israeli artillery and tanks shelled targets east of Rafah. Casualties unknown. Fatalities coded as at least 2.",2,,1753955132
PSE53696,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Khirbet al Adas,31.2855,34.2714,2,Arab 48; Palestine News and Information Agency,National,"On 2 June 2024, Israeli warplanes struck a target in Musabbah area north of Rafah, coded to Khirbet al Adas (Rafah, Gaza Strip), leaving injuries.",0,,1753955132
PSE53674,6/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Brazil Camp,31.2718,34.2532,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 June 2024, Israeli warplanes carried out strikes in Brazil Camp (Rafah, Gaza Strip), leaving injuries and destroying a number of houses.",0,,1753955132
PSE53708,6/3/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Bani Suheila,31.3424,34.325,2,Palestine News and Information Agency; PLO Negotiations Affairs Department; Quds News Network; Twitter,Other-New media,"On 3 June 2024, Israeli warplanes struck 2 houses in Al Rumaida area east of Khan Yunis, coded to Bani Suheila (Khan Yunis, Gaza Strip), leaving 10 fatalities including 3 children. Also, Israeli artillery and tanks shelled targets east of Khan Yunis. Casualties unknown. Fatalities coded as at least 10.",10,,1753955132
