event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE51518,5/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza,31.5045,34.4743,1,Arab 48; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 May 2024, Israeli warplanes struck a residential building at Al Jalaa Street in Gaza City (Gaza City, Gaza Strip), causing fatalities and injuries, with at least 3 bodies being later recovered from under the rubble. Fatalities coded as at least 3.",3,,1759790002
PSE51523,5/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Fukhari,31.2952,34.3332,2,Al-Ittihad; Arab 48; Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 May 2024, Israeli artillery shelled east of Al Fukhari (Khan Yunis, Gaza Strip), killing a woman and injuring several persons including a child.",1,,1753955132
PSE51522,5/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Al-Ittihad; Ma'an News Agency; Palestine News and Information Agency,National-Regional,"On 1 May 2024, Israeli warplanes struck a house in An Nusayrat refugee camp (Deir El Balah, Gaza Strip), killing 1 Palestinian and injuring another 5",1,,1753955132
PSE51524,5/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Jabalya Camp,31.536,34.4907,1,Al-Ittihad; Arab 48; Liveuamap; Palestine News and Information Agency; Quds News Network; Twitter,Local partner-New media,"On 1 May 2024, Israeli warplanes struck a house in al-Shuhdaa area of Mukhayyam Jabalya Camp (North Gaza, Gaza Strip). Casualties unknown.",0,,1753955132
PSE51535,5/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - North,31.4591,34.3923,1,Quds News Network; Twitter,New media-National,"On 1 May 2024, Israeli warplanes carried out strikes north of An Nusayrat camp (An Nusayrat - North, Deir El Balah, Gaza Strip). Casualties unknown. Also, the artillery shelled the al-Mufti area north of the camp, leaving 9 injuries. Fatalities unknown. Unspecified fatalities coded as 3.",3,,1753955132
PSE51529,5/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Al Zahra,31.4716,34.4013,1,Arab 48; Liveuamap; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,Local partner-New media,"On 1 May 2024, Israeli warplanes struck targets in Al Zahra (Gaza City, Gaza Strip), leaving 6 fatalities.",6,,1753955132
PSE51360,5/1/2024,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Al Mughraqa,31.4675,34.4097,2,Arab 48; Quds News Network; Twitter,New media-National,"On 1 May 2024, Israeli forces shot and killed a Palestinian while passing from Al Rasheed street near wadi Gaza, coded to Al Mughraqa (Gaza City, Gaza Strip).",1,,1753955132
PSE51517,5/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Yibna,31.2842,34.2482,2,Arab 48; Ma'an News Agency; Palestine News and Information Agency; PLO Negotiations Affairs Department; Quds News Network; Twitter,Other-New media,"On 1 May 2024, Israeli warplanes carried out strikes east of Rafah, coded to Yibna (Rafah, Gaza Strip). Casualties unknown. Also, Israeli artillery and tanks shelled targets east of the city and killed a Palestinian woman. Fatalities coded as 1.",1,,1753955132
PSE51525,5/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Al Mughraqa,31.4675,34.4097,1,Arab 48; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 May 2024, Israeli warplanes struck a house in Al Mughraqa (Gaza City, Gaza Strip). Casualties unknown.",0,,1753955132
PSE51519,5/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Az Zaytun,31.4964,34.4522,1,Arab 48; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 May 2024, Israeli warplanes carried out strikes in Gaza - Az Zaytun (Gaza City, Gaza Strip). Casualties unknown. Also, the Israeli artillery shelled a house in the same area, leaving 2 fatalities. Fatalities coded as 2.",2,,1759790002
PSE51546,5/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza,31.5045,34.4743,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 May 2024, Israeli warplanes struck a group of Palestinians in Al Nafaq Street in Gaza City (Gaza City, Gaza Strip), killing 3 Palestinians and injuring others.",3,,1759790002
PSE51545,5/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 May 2024, Israeli warplanes carried out airstrikes in Al Burayj refugee camp (Deir El Balah, Gaza Strip), killing 5 Palestinians, including a child.",5,,1753955132
PSE51548,5/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Palestine News and Information Agency,National,"On 2 May 2024, Israeli warplanes struck the northern and western areas of An Nusayrat refugee camp (Deir El Balah, Gaza Strip), killing 3 Palestinians.",3,,1753955132
PSE51565,5/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,2,Quds News Network; Twitter,New media-National,"On 2 May 2024, Israeli warplanes carried out airstrikes east of Al Burayj camp (Deir El Balah, Gaza Strip), killing 2 Palestinian brothers.",2,,1753955132
