event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE41817,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),Health Workers (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Northern Remal,31.524,34.4505,2,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli artillery struck houses west of Gaza City (coded to Gaza - Northern Remal) (Gaza City, Gaza Strip). Also, 2 Palestinian paramedic were killed on the outskirts of al-Shifa Hospital after targeting ambulances.",2,,1759789988
PSE41818,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Abasan al Kabirah,31.3191,34.3401,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck targets and houses in Abasan al Kabirah (Khan Yunis, Gaza Strip). Several persons were injured.",0,,1753954979
PSE41821,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Journalists (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Ad Darraj,31.5172,34.4642,1,Al Jazeera; Guardian (United Kingdom); International Federation of Journalists; Newpress; Palestine News and Information Agency; Twitter,Other-New media,"On 1 December 2023, Israeli warplanes struck al-Shawwa Square in Gaza - Ad Darraj (Gaza City, Gaza Strip), leaving an unspecified number of fatalities and injuries and killing 2 Palestinian journalists (siblings). Fatalities coded as 10.",10,,1759789988
PSE41826,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Bani Suheila,31.3424,34.325,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck a house in Bani Suheila (Khan Yunis, Gaza Strip), killing a Palestinian and injuring several of others.",1,,1753954979
PSE41842,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Al Amal,31.3544,34.3007,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck targets and a house in Khan Yunis - Al Amal (Khan Yunis, Gaza Strip). Several persons were injured.",0,,1753954979
PSE41843,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Muslim Group (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - City Centre,31.3419,34.3015,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck and destroyed a mosque in Khan Yunis - City Centre (Khan Yunis, Gaza Strip). 9 persons were injured.",0,,1753954979
PSE41847,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - West (Municipal Stadium),31.3484,34.2961,2,Newpress; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck houses in Khan Yunis refugee camp, west of Khan Yunis in the area of Khan Yunis - West (Municipal Stadium) (Gaza Strip). Casualties unknown.",0,,1753954979
PSE41849,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sheikh Radwan,31.5349,34.4667,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck targets near a school hosting displaced people in Gaza - Sheikh Radwan area (Gaza City, Gaza Strip). Meanwhile, the tanks struck targets and houses in the area, leaving an unspecified number of fatalities, coded as 10.",10,,1759789988
PSE41851,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Journalists (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Shujaiyya,31.4988,34.4699,1,Guardian (United Kingdom); International Federation of Journalists; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,Other-New media,"On 1 December 2023, Israeli warplanes struck houses and targets in Gaza - Shujaiyya (Gaza City, Gaza Strip), killing 15 persons, including children and women and a journalist.",15,,1759789988
PSE42078,12/1/2023,2023,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Northern Remal,31.524,34.4505,2,Palestine News and Information Agency,National,"On 1 December 2023, Israeli troops opened fire and killed 2 Palestinian brothers near the Msallam pharmacy at al-Jalaa street east of Gaza - Northern Remal (Gaza City, Gaza Strip).",2,,1759789988
PSE41814,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Maghazi,31.4214,34.3865,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck targets in Al Maghazi refugee camp (Deir El Balah, Gaza Strip), killing 10 Palestinians and injuring several of others. Also, 3 Palestinians were killed in a separate airstrike on the same area, raising total fatalities to 13.",13,,1753954979
PSE41815,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Newpress; Palestine News and Information Agency; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck targets and houses in An Nusayrat refugee camp (Deir El Balah, Gaza Strip), leaving an unspecified number of fatalities and injuries, likely civilians. Also, the artillery struck targets in the area. Fatalities coded as 10.",10,,1753954979
PSE41816,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Palestine News and Information Agency,National,"On 1 December 2023, Israeli warplanes struck targets and houses in Al Burayj refugee camp (Deir El Balah, Gaza Strip), leaving an unspecified number of fatalities and injuries, likely civilians. Also, the artillery struck targets in the area. Fatalities coded as 10.",10,,1753954979
PSE41829,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Hamad,31.3749,34.3193,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck apartments in Hamad city (Khan Yunis, Gaza Strip), killing 2 Palestinians and injuring several of others.",2,,1753954979
PSE41855,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Deir al Balah,31.4178,34.3503,1,Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck a house and an apartment in al-Qastal towers in Deir al Balah (Deir El Balah, Gaza Strip). 6 persons were killed.",6,,1753954979
PSE41858,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,2,Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck 2 houses east of Al Burayj (Deir El Balah, Gaza Strip). Casualties unknown.",0,,1753954979
PSE41833,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya,31.5541,34.5016,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck a house on the outskirts of Kamal Odwan Hospital in Beit Lahiya (North Gaza, Gaza Strip), leaving an unspecified number of fatalities and injuries. Meanwhile, the tanks struck several targets in the area, leaving a number of injuries. Fatalities coded as 10.",10,,1753954979
PSE41860,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya - Al Mashroo,31.5433,34.4998,1,Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck a residential area in Beit Lahiya - Al Mashroo (North Gaza, Gaza Strip). Casualties unknown.",0,,1753954979
PSE41813,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,2,Palestine News and Information Agency,National,"On 1 December 2023, Israeli warplanes struck a house west of Rafah, in Tal as Sultan (Rafah, Gaza Strip), killing a Palestinian and injuring several of others.",1,,1762829569
PSE41836,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine); UNRWA: United Nations Relief and Works Agency,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Jabalya Camp,31.536,34.4907,1,Liveuamap; Newpress; Palestine News and Information Agency; Twitter,Local partner-New media,"On 1 December 2023, Israeli warplanes struck targets and houses in Mukhayyam Jabalya camp (North Gaza, Gaza Strip), killing 5 persons and injuring dozens. Also a number of Palestinians were injured after targeting an UNRWA school hosting refugees.",5,,1753954979
PSE41831,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Ash Shati' Camp,31.5349,34.4466,2,Newpress; Palestine News and Information Agency; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck a house northwest of Gaza City (coded to Gaza - Ash Shati' Camp) (Gaza City, Gaza Strip). Meanwhile tanks and artillery struck targets in the area. Casualties unknown.",0,,1759789988
PSE42108,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Journalists (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza,31.5045,34.4743,1,Guardian (United Kingdom); International Federation of Journalists; Palestine News and Information Agency; Quds News Network; Twitter,Other-New media,"On 1 December 2023, Israeli military forces opened fire at Palestinian residential areas in Gaza City (Gaza City, Gaza Strip). Meanwhile, warplanes and tanks struck several locations, leaving an unspecified number of fatalities and injuries. A Palestinian journalist was killed. Fatalities coded as 10.",10,,1759789988
PSE41838,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Nezarim,31.484,34.4056,2,Palestine Information Center; Palestine News and Information Agency,Other-National,"On 1 December 2023, Israeli warplanes struck a group of displaced people who were raising white flags and fleeing toward the Salah al-Din street, presumably the Gaza - Nezarim area (Gaza City, Gaza Strip), killing 5 of them.",5,,1753954979
PSE41810,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Al Mughraqa,31.4675,34.4097,1,Ma'an News Agency; Palestine News and Information Agency,National,"On 1 December 2023, Israeli warplanes struck targets and a house in Al Mughraqa (Gaza City, Gaza Strip). A 16-year-old Palestinian was killed.",1,,1753954979
PSE41822,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Yibna,31.2842,34.2482,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck houses in Yibna refugee camp (Rafah, Gaza Strip). 9 Palestinians were killed.",9,,1753954979
PSE41830,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Yibna,31.2842,34.2482,2,Newpress; Palestine News and Information Agency; PLO Negotiations Affairs Department; Quds News Network; Twitter,Other-New media,"On 1 December 2023, Israeli warplanes struck a house at George street east of Rafah (coded to Yibna, Gaza Strip), killing 10 persons including 5 children. Meanwhile, Israeli artillery struck targets in the area.",10,,1753954979
PSE41823,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Az Zaytun,31.4964,34.4522,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck houses and targets near al-Mamadani Hospital and in Gaza - Az Zaytun (Gaza City, Gaza Strip), killing 15 persons, including children and women.",15,,1759789988
PSE41853,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Tal el Hawa,31.5041,34.435,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck houses in Gaza - Tal el Hawa (Gaza City, Gaza Strip), leaving an unspecified number of fatalities and injuries. Fatalities coded as 10.",10,,1759789988
PSE41854,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Jabalya,31.5272,34.4835,1,Joe Truzman; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck a house in Jabalya town (North Gaza, Gaza Strip). Also, warplanes struck a passing car in Al Saftawi area of Jabalya, leaving an unspecified number of fatalities, coded as 10.",10,,1759789988
PSE41812,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Rafah,31.287,34.2595,1,Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 December 2023, Israeli warplanes struck houses in Rafah city and al-Shaboura refugee camp in the city (Rafah, Gaza Strip), killing 9 Palestinians and injuring several of others.",9,,1762829569
PSE41835,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Muslim Group (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Khirbet al Adas,31.2855,34.2714,1,Palestine News and Information Agency,National,"On 1 December 2023, Israeli warplanes struck al-Amin Mohammad mosque in Khirbet al Adas (Rafah, Gaza Strip). Casualties unknown.",0,,1753954979
PSE41863,12/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,As Salam,31.2678,34.2567,1,Al Ghad (Jordan),Regional,"On 1 December 2023, Israeli warplanes struck a house in As Salam (Rafah, Gaza Strip), killing a women and injuring a number of Palestinians.",1,,1753954979
PSE42225,12/2/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Qararah,31.3739,34.3409,1,Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 December 2023, Israeli warplanes struck 4 houses in Al Qararah (Khan Yunis, Gaza Strip), killing 10 Palestinians women and children. Also, dozens of Palestinians were killed and injured in an Israeli airstrike on the al-Abadleh house. Total fatalities coded as 16.",16,,1753954979
PSE42226,12/2/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Muslim Group (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Qararah,31.3739,34.3409,2,Al-Ittihad; Al Ghad (Jordan); Ma'an News Agency; Palestine News and Information Agency,National-Regional,"On 2 December 2023, Israeli warplanes struck 3 mosques north of Al Qararah (Khan Yunis, Gaza Strip). Casualties unknown.",0,,1753954979
PSE42229,12/2/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Bani Suheila,31.3424,34.325,1,Palestine News and Information Agency,National,"On 2 December 2023, Israeli warplanes struck Palestinian houses in Bani Suheila (Khan Yunis, Gaza Strip), killing 4 Palestinians.",4,,1753954979
PSE42233,12/2/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza,31.5045,34.4743,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 December 2023, Israeli warplanes struck houses in al-Yarmouk neighborhood in Gaza City (Gaza city, Gaza Strip), leaving dozens of fatalities and injuries among Palestinians. Fatalities coded as 6.",6,,1759789988
PSE42234,12/2/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - At Tuffah,31.5134,34.4751,1,Palestine News and Information Agency,National,"On 2 December 2023, Israeli warplanes and artillery struck houses and targets in Gaza - At Tuffah (Gaza city, Gaza Strip), leaving dozens of fatalities and injuries among Palestinians. Fatalities coded as 6.",6,,1759789988
PSE42239,12/2/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sheikh Radwan,31.5349,34.4667,1,Palestine News and Information Agency,National,"On 2 December 2023, Israeli warplanes and artillery struck houses in Gaza - Sheikh Radwan (Gaza City, Gaza Strip), leaving dozens of fatalities and injuries among Palestinians. Fatalities coded as 6.",6,,1759789988
PSE42240,12/2/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sheikh Radwan,31.5349,34.4667,2,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 December 2023, Israeli warplanes struck a residential building in al-Saftawi and al-Jala street, north of Gaza city, Gaza - Sheikh Radwan (Gaza City, Gaza Strip), leaving dozens of fatalities and injuries among Palestinians. Meanwhile, the artillery targeted houses in the area. Fatalities coded as 6.",6,,1759789988
PSE42247,12/2/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis,31.3502,34.3081,1,Ma'an News Agency; Newpress; Palestine News and Information Agency; Twitter,New media-National,"On 2 December 2023, Israeli warplanes carried airstrikes in Khan Yunis city (Khan Yunis, Gaza Strip), leaving dozens of fatalities and injuries, including women and children. Fatalities coded as 6. Also, 3 children were killed and 12 persons were injured. Total fatalities coded as 9.",9,,1753954979
PSE42248,12/2/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Muslim Group (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - As Sater,31.3637,34.3228,1,Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 December 2023, Israeli warplanes struck Abdallah Azzam and al-Nour mosques, a house and a kindergarten in Khan Yunis - As Sater (Khan Yunis, Gaza Strip). Casualties unknown.",0,,1753954979
PSE42222,12/2/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Arab 48,National,"On 2 December 2023, Israeli warplanes struck a house in Al Burayj refugee camp (Deir El Balah, Gaza Strip), killing 7 Palestinians, including children and women.",7,,1753954979
