event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE77300,2/1/2025,2025,2,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza,31.5045,34.4743,2,New York Times,International,"Around 1 February 2025, the Israeli navy shelled an aid convey on the coastal raod of Gaza City (Gaza Strip). Casualties unknown. The UN issued an accusation, and the IDF said it would look into it. This event involved violence over aid.",0,,1759790002
PSE67324,2/2/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - West,31.4525,34.3756,2,Arutz Sheva; Dunia Al Watan; Liveuamap; Quds News Network; Times of Israel,Local partner-New media,"On 2 February 2025, an Israeli drone targeted a vehicle on Al Rasheed road coded to An Nusayrat - West (Deir El Balah, Gaza Strip) killing a child and injuring others. According to Israeli media, the vehicle 'violated the ceasefire as it passed along a route that is not the agreed inspection route'. These events occurred during the first stage of a 42-day ceasefire that began on 19 January 2025.",1,,1753956656
PSE67356,2/2/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Shokat as Sufi,31.2586,34.2824,1,Palestine News and Information Agency; Twitter,New media-National,"On 2 February 2025, Israeli forces shot and killed a Palestinian man in Shokat as Sufi (Rafah, Gaza Strip). According to Israeli media, Israeli forces 'fired warning shots after Palestinian suspects approached' them. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2025.",1,,1753956656
PSE67495,2/2/2025,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,2,Al Ghad (Jordan); Dunia Al Watan,National-Regional,"On 2 February 2025, Israeli artillery fired towards Palestinian houses in east of Al Burayj (Deir El Balah, Gaza Strip). There were no casualties. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2025.",0,,1753956656
PSE67334,2/2/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Al Mughraqa,31.4675,34.4097,2,Arutz Sheva; Dunia Al Watan; Liveuamap; Quds News Network; Times of Israel,Local partner-New media,"On 2 February 2025, an Israeli done dropped two bombs on an animal-drawn cart near Jisr Wadi Gaza, coded to Al Mughraqa (Gaza City, Gaza Strip). There were no casualties. These events occurred during the first stage of a 42-day ceasefire that began on 19 January 2025.",0,,1753956656
PSE67325,2/2/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Abasan al Jadidah,31.3416,34.3459,2,Palestinian Ministry of Health; Quds News Network,Other-National,"On 2 February 2025, an Israeli drone dropped a bomb on a group of Palestinians in east of Abasan al Jadidah (Khan Yunis, Gaza Strip) injuring two people. Israeli artillery also fired towards that location. Casualties unknown. These events occurred during the first stage of a 42-day ceasefire that began on 19 January 2025. [Palestinian Ministry of Health reported 7 fatalities between 30 January - 2 February 2025. 3 fatalities not attributed to specific events added to this event on 2 February 2025.]",3,,1753956656
PSE67360,2/3/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),Fishers (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Coast of Gaza City,31.5304,34.4215,2,Quds News Network; Twitter,New media-National,"On 3 February 2025, Israeli gunboats opened fire [likely toward fishing boats] off the Coast of Gaza City (Gaza City, Gaza Strip) causing a leg injury to a fisherman. According to Israeli media, Israeli forces 'fired warning shots after Palestinian suspects approached' them. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2025.",0,,1753956656
PSE67498,2/3/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Fukhari,31.2952,34.3332,1,Palestinian Ministry of Health; Quds News Network; Twitter,Other-New media,"On 3 February 2025, Israeli forces stationed on the buffer zone opened fire [live ammunition] towards Palestinian houses and lands in eastern Al Fukhari (Khan Yunis, Gaza Strip). Casualties unknown. According to Israeli media, Israeli forces 'fired warning shots after Palestinian suspects approached' them. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2025. [Palestinian Ministry of Health reported 2 fatalities on 3 February 2025. 2 fatalities not attributed to specific events added to this event.]",2,,1753956656
PSE67361,2/4/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),Fishers (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Coast of Gaza City,31.5304,34.4215,2,Ma'an News Agency; Twitter,New media-National,"On 4 February 2025, Israeli warships fired at a Palestinian vessel at sea [likely fishing boat], off the Coast of Gaza City (Gaza City, Gaza Strip), with warning shots, which made it return to the coast of Gaza. There were no casualties. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2025.",0,,1753956656
PSE67332,2/5/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Shokat as Sufi,31.2586,34.2824,2,Israeli Defense Forces; Palestinian Ministry of Health; Quds News Network; Twitter,Other-New media,"On 5 February 2025, an Israeli drone dropped a bomb east of Shokat as Sufi (Rafah, Gaza Strip), resulting in a residential home burning. Casualties unknown. The IDF claimed that they targeted possible suspects [likely in this location]. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024. [Palestinian Ministry of Health reported 15 fatalities between 4 - 6 February 2025. 10 fatalities not attributed to specific events split across 2 events on 5 February. 5 fatalities coded to this event.]",5,,1753956656
PSE67376,2/5/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Abasan al Kabirah,31.3191,34.3401,2,Palestine News and Information Agency,National,"On 5 February 2025, Israeli forces opened fire at a group of people east of Khan Yunis governorate, coded to Abasan al Kabirah (Khan Yunis, Gaza Strip), resulting in three men killed. The IDF claimed that they targeted possible suspects. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",3,,1753956656
PSE67331,2/5/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Rafah,31.287,34.2595,1,Liveuamap; Palestine News and Information Agency,Local partner-New media,"On 5 February 2025, an Israeli drone struck a target in Rafah City (Rafah, Gaza Strip). Casualties unknown. Also, artillery opened fire close to Midan Al Odeh in the centre of Rafah City, resulting in one child being killed. The IDF claimed that they targeted possible suspects. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",1,,1762829569
PSE67333,2/5/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Al Junainah,31.2642,34.2636,1,Ma'an News Agency; Palestinian Ministry of Health,Other-National,"On 5 February 2025, an Israeli drone [Quadcopter] opened fire close to Abad Al Rahman Mosque in Al Junainah neighbourhood (Rafah, Gaza Strip), resulting in a residential home burning. Casualties unknown. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024. [Palestinian Ministry of Health reported 15 fatalities between 4 - 6 February 2025. 10 fatalities not attributed to specific events split across 2 events on 5 February. 5 fatalities coded to this event.]",5,,1753956656
PSE67377,2/6/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Juhr ad Dik,31.4557,34.4372,2,Quds News Network,National,"On 6 February 2025, an Israeli sniper opened fire near the Nezarim corridor, likely the eastern section of Nezarim, coded to Juhr ad Dik (Gaza City, Gaza Strip), resulting in one person killed. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",1,,1753956656
PSE67493,2/7/2025,2025,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Rafah,31.287,34.2595,1,Palestine News and Information Agency,National,"On 7 February 2025, unexploded ordnance [UXO] presumably from Israeli forces exploded and killed a child in Rafah (Rafah, Gaza Strip). This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",1,,1762829569
PSE67512,2/8/2025,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Qararah,31.3739,34.3409,1,Israeli Defense Forces; PLO Negotiations Affairs Department; Quds News Network,Other-National,"On 8 February 2025, Israeli artillery fired heavily towards the eastern Al Qararah town (Khan Yunis, Gaza Strip), resulting in one killed. The IDF claimed that they were targeting a suspicious person moving towards them [likely in this location]. This event occurred during the first stage of a 42-day ceasefire that began on 19 January 2024.",1,,1753956656
