event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE66251,1/1/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Palestine News and Information Agency; Quds News Network,National,"On 1 January 2025, Israeli warplanes struck a residential home in Al Burayj (Deir El Balah, Gaza Strip), resulting in two dead. Additionally, Israeli warplanes struck a home in Block 9 in the center of Kat in the same location, resulting in deaths and injuries [unspecified fatalities coded as three]. While, Israeli artillery shelled the area.",5,,1753956656
PSE66254,1/1/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Ash Shati' Camp,31.5349,34.4466,2,Palestine News and Information Agency; Quds News Network,National,"On 1 January 2025, Israeli artillery shelled the northwestern areas of Gaza City, coded to Gaza - Ash Shati' Camp (Gaza City, Gaza Strip). Also, Israeli drones [Quadcopter] fired at residential homes in Al Safttawi, northwest of Gaza City coded to the same location. Casualties unknown for both strikes.",0,,1759790002
PSE66256,1/1/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Maen,31.336,34.3172,2,Ma'an News Agency; Palestine News and Information Agency; Quds News Network,National,"On 1 January 2025, an Israeli drone struck a group of people in Al Manara neighborhood southeast of Khan Yunis coded to Khan Yunis - Maen (Khan Yunis, Gaza Strip), resulting in four dead and others injured.",4,,1753956656
PSE66257,1/1/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Shujaiyya,31.4988,34.4699,1,Ma'an News Agency; Palestine News and Information Agency; Quds News Network,National,"On 1 January 2025, Israeli warplanes struck a piece of land in the vicinity of Brkas Khdouir in Gaza - Shujaiyya (Gaza City, Gaza Strip), while Israeli artillery continuously shelled the Shaaf area in the same location [Casualties unknown]. Additionally, an Israeli drone struck a residential apartment on Al Mushtaha Street in the same location, resulting in seven dead, including three children and a woman. Israeli warplanes also struck an agricultural land near Al Murabteen Mosque in the same area, resulting in two dead. Total fatalities coded at least nine.",9,,1759790002
PSE66258,1/1/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sheikh Radwan,31.5349,34.4667,1,Palestine News and Information Agency,National,"On 1 January 2025, Israeli drones struck a group of people in Gaza - Sheikh Radwan (Gaza City, Gaza Strip), resulting in a number of injuries.",0,,1759790002
PSE66260,1/1/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Fukhari,31.2952,34.3332,1,Quds News Network,National,"On 1 January 2025, Israeli artillery shelled Al Fukhari town in (Khan Yunis, Gaza Strip) [Casualties unknow]. Also, Israeli warplanes struck a residential home in the same area, resulting in injuries. Fatalities unknown.",0,,1753956656
PSE66250,1/1/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Jabalya,31.5272,34.4835,1,Palestine News and Information Agency,National,"On 1 January 2025, Israeli warplanes struck a residential home in Jabalya el Balad (North Gaza, Gaza Strip), resulting in fifteen dead and others injured. Additionally, an Israeli drone struck a group of people near Al Halabi Roundabout in the same location, resulting in two dead and others injured. Total fatalities coded as 17.",17,,1759790002
PSE66264,1/1/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Az Zaytun,31.4964,34.4522,1,Quds News Network,National,"On 1 January 2025, Israeli warplanes struck a residential home close to the 'Holy Family' church in Gaza - Az Zaytun (Gaza City, Gaza Strip). Casualties unknown.",0,,1759790002
PSE66201,1/2/2025,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya,31.5541,34.5016,1,Palestine News and Information Agency,National,"On 2 January 2025, Israeli artillery shelled areas in the vicinity of the Indonesian Hospital in Beit Lahiya (North Gaza, Gaza Strip), resulting in a fire in school shelters and homes near the hospital. Israeli bulldozers also destroyed the fence of the hospital. Casualties unknown.",0,,1753956656
PSE66300,1/2/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Bani Suheila,31.3424,34.325,1,Palestine News and Information Agency,National,"On 2 January 2025, Israeli warplanes struck a gathering of people in Bani Suheila (Khan Yunis, Gaza Strip), resulting in two dead and others injured.",2,,1753956656
