event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE69996,3/1/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,1,Quds News Network,National,"On 1 March 2025, Israeli forces shot a child in the foot in Tal as Sultan (Rafah, Gaza Strip). This event occurred following the expiration of the first phase of the ceasefire.",0,,1762829569
PSE69944,3/2/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Al Bayuk,31.2747,34.2899,2,Palestine News and Information Agency; Twitter,New media-National,"On 2 March 2025, an Israeli drone targeted east of Gaza airport in eastern Rafah, coded to Al Bayuk (Rafah, Gaza Strip) and killed two people. According to Israeli media, the two 'suspects were identified near Israeli forces and posed a threat'. This event occurred following the expiration of the first phase of the ceasefire.",2,,1753956656
PSE69947,3/2/2025,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Farahin,31.3319,34.3602,1,Liveuamap; Palestine News and Information Agency,Local partner-New media,"On 2 March 2025, Israeli vehicles opened fire at Al Farahin (Khan Yunis, Gaza Strip) killing one woman and injuring two other people. This event occurred following the expiration of the first phase of the ceasefire.",1,,1753956656
PSE69998,3/2/2025,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,1,Quds News Network,National,"On 2 March 2025, Israeli forces fired, likely artillery, on a residential house in Tal as Sultan (Rafah, Gaza Strip) injuring several people. This event occurred following the expiration of the first phase of the ceasefire.",0,,1762829569
PSE69964,3/2/2025,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Shujaiyya,31.4988,34.4699,1,Palestinian Ministry of Health; Quds News Network,Other-National,"On 2 March 2025, Israeli artillery fired towards residential houses in Gaza - Shujaiyya (Gaza City, Gaza Strip). Casualties unknown. This event occurred following the expiration of the first phase of the ceasefire. [Palestinian Ministry of Health reported 7 fatalities between 1 - 2 March 2025. 2 fatalities not attributed to specific events added to this event.]",2,,1759790002
PSE69990,3/2/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Rafah,31.287,34.2595,1,Ma'an News Agency; Newpress; Quds News Network; Twitter,New media-National,"On 2 March 2025, an Israeli sniper shot and killed a Palestinian man in Rafah (Rafah, Gaza Strip), and fired continuous live ammunition in the location injuring two other women. Israeli artillery also fired gunshots at the same location as well as sound bombs. These events occurred following the expiration of the first phase of the ceasefire.",1,,1762829569
PSE69942,3/3/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Coast of Khan Yunis,31.3822,34.271,2,Quds News Network; Twitter,New media-National,"On 3 March 2025, Israeli warplanes fired at a vessel off the Coast of Khan Yunis (Khan Yunis, Gaza Strip). Casualties unknown. According to Israeli media, the IDF struck a vessel 'that exceeded a maritime boundary and posed a threat'. This event occurred following the expiration of the first phase of the ceasefire.",0,,1753956656
PSE69965,3/3/2025,2025,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Shujaiyya,31.4988,34.4699,1,Quds News Network,National,"On 3 March 2025, Israeli artillery fired gunshots at residential houses in Gaza - Shujaiyya (Gaza City, Gaza Strip). Casualties unknown. This event occurred following the expiration of the first phase of the ceasefire.",0,,1759790002
PSE69972,3/3/2025,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Mawasi (Khan Yunis),31.3482,34.2547,1,Newpress; Quds News Network; Twitter,New media-National,"On 3 March 2025, an Israeli helicopter launched two airstrikes on Al Mawasi (Khan Yunis) (Khan Yunis, Gaza Strip) injuring 3 people, including a child. This event occurred following the expiration of the first phase of the ceasefire.",0,,1762829569
PSE69974,3/3/2025,2025,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Qararah,31.3739,34.3409,1,Quds News Network,National,"On 3 March 2025, Israeli forces fired gunshots at Eastern Al Qararah (Khan Yunis, Gaza Strip) injuring a child. This event occurred following the expiration of the first phase of the ceasefire.",0,,1753956656
