event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE46294,2/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),Health Workers (Palestine); Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Al Amal,31.3544,34.3007,1,Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 February 2024, Israeli artillery and tanks struck targets (including houses) and opened fire in the vicinity of Al Amal hospital in Khan Yunis - Al Amal (Khan Yunis, Gaza Strip), killing 2 Palestinians and injuring another 9. Meanwhile, Israeli tanks entered the Al Amal hospital's yard firing at the buildings, causing damage to 5 parked ambulances and injuring 13 displaced people. The total fatalities were 2.",2,,1753955113
PSE46296,2/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,An Nasr,31.2814,34.3025,1,Liveuamap; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,Local partner-New media,"On 1 February 2024, Israeli warplanes struck a house in An Nasr (Rafah, Gaza Strip), killing 4 Palestinians.",4,,1753955113
PSE46297,2/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - West (Municipal Stadium),31.3484,34.2961,2,Arab 48; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 February 2024, Israeli warplanes struck houses west of Khan Yunis, (coded to Khan Yunis - West (Municipal Stadium), Gaza Strip), injuring 13 Palestinians. Also, Israeli airstrikes targeted the vicinity of Naser hospital. Fatalities unknown.",0,,1753955113
PSE46309,2/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Fukhari,31.2952,34.3332,1,Arab 48,National,"On 1 February 2024, Israeli warplanes struck targets near the European Hospital in Al Fukhari (Khan Yunis, Gaza Strip), killing 3 Palestinians.",3,,1753955113
PSE46316,2/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Ash Sheikh Naser,31.3398,34.3116,1,Quds News Network; Twitter,New media-National,"On 1 February 2024, Israeli UAVs struck the Khan Yunis - Ash Sheikh Naser (Khan Yunis, Gaza Strip), killing 2 Palestinians.",2,,1753955113
PSE46293,2/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - West,31.4525,34.3756,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 February 2024, Israeli warplanes struck a house west of An Nusayrat (An Nusayrat - West, Deir El Balah, Gaza Strip), killing 2 Palestinians and injuring a number of others.",2,,1753955113
PSE53748,2/1/2024,2024,3,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Israel),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis,31.3502,34.3081,1,Israeli Defense Forces; Quds News Network; Times of Israel; Twitter,Other-New media,"Around 1 February 2024 (month of), 4 Israeli abductees were killed (likely by an airstrike) in Khan Yunis city (Gaza Strip) during the Israeli ground operation in Khan Yunis. By 14 June, their bodies were still held by Palestinian factions.",4,,1753955132
PSE46290,2/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Southern Remal,31.5168,34.4355,1,Palestine News and Information Agency; Palestinian Ministry of Health,Other-National,"On 1 February 2024, Israeli warplanes and artillery struck targets and opened fire in Gaza - Southern Remal (Gaza City, Gaza Strip), killing and injuring a number of Palestinians. [Palestinian Ministry of Health reported 27131 fatalities upto 1 February 2024. 65 fatalities not attributed to specific events split across 3 events on 1 Febraury. 21 fatalities coded to this event.]",21,,1759789988
PSE46291,2/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Tal el Hawa,31.5041,34.435,1,Palestine News and Information Agency; Palestinian Ministry of Health,Other-National,"On 1 February 2024, Israeli warplanes and artillery struck targets and opened fire in Gaza - Tal el Hawa (Gaza City, Gaza Strip), killing and injuring a number of Palestinians. [Palestinian Ministry of Health reported 27131 fatalities upto 1 February 2024. 65 fatalities not attributed to specific events split across 3 events on 1 Febraury. 22 fatalities coded to this event.]",22,,1759789988
PSE46292,2/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Az Zaytun,31.4964,34.4522,1,Palestine News and Information Agency; Palestinian Ministry of Health,Other-National,"On 1 February 2024, Israeli warplanes struck 2 houses in Gaza - Az Zaytun (Gaza City, Gaza Strip), killing a number of Palestinians and injuring dozens. [Palestinian Ministry of Health reported 27131 fatalities upto 1 February 2024. 65 fatalities not attributed to specific events split across 3 events on 1 Febraury. 22 fatalities coded to this event.]",22,,1759789988
