event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE55056,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,2,Arab 48; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 July 2024, Israeli artillery shelled houses east of Al Burayj Camp (Deir El Balah, Gaza Strip), leaving one fatality and a number of injuries.",1,,1753955132
PSE55061,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Quds News Network; Twitter,New media-National,"On 1 July 2024, Israeli warplanes struck a house in An Nusayrat Camp (Deir El Balah, Gaza Strip), leaving fatalities and injuries [unspecified number of fatalities coded as 3].",3,,1753955132
PSE55069,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - North,31.4591,34.3923,1,Arab 48; Newpress; Quds News Network; Twitter,New media-National,"On 1 July 2024, Israeli UAVs opened fire in An Nusayrat - North (Deir El Balah, Gaza Strip) amid artillery shelling. A Palestinian was killed.",1,,1753955132
PSE55128,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Journalists (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sabra,31.5086,34.4493,1,Arab 48; Guardian (United Kingdom); Palestine News and Information Agency; Quds News Network; Reporters Sans Frontieres; Twitter,Other-New media,"On 1 July 2024, an Israeli UAV dropped a bomb in Gaza - Sabra (Gaza City, Gaza Strip), killing a journalist and a number of injuries.",1,,1759790002
PSE55133,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sheikh Radwan,31.5349,34.4667,1,Arab 48; Newpress; Twitter,New media-National,"On 1 July 2024, a Palestinian and his wife were killed on the outskirts of Gaza - Sheikh Radwan (Gaza City, Gaza Strip) likely by airstrikes. Fatalities were 2.",2,,1759790002
PSE55145,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Shujaiyya,31.4988,34.4699,1,Arab 48; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 July 2024, Israeli warplanes (including UAVs), artillery, and tanks opened fire in Gaza - Shujaiyya (Gaza City, Gaza Strip). Casualties unknown. Also, Israeli helicopters opened fire toward Palestinian houses in Shujaiyya [Casualties unknown].",0,,1759790002
PSE55184,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Health Workers (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Fukhari,31.2952,34.3332,1,Arab 48; Quds News Network; Twitter,New media-National,"On 1 July 2024, Israeli warplanes struck a house in Al Fukhari (Khan Yunis, Gaza Strip), leaving one fatality. Also, a Palestinian doctor was killed in an airstrike. Total fatalities were 2.",2,,1753955132
PSE55192,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Bani Suheila,31.3424,34.325,1,Arab 48; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 July 2024, an Israeli UAV struck a passing car in Bani Suheila (Khan Yunis, Gaza Strip), killing a girl and injuring a number of Palestinians.",1,,1753955132
PSE55203,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Maen,31.336,34.3172,1,Palestine News and Information Agency,National,"On 1 July 2024, Israeli warplanes struck a house in Khan Yunis - Maen (Khan Yunis, Gaza Strip). There were no casualties.",0,,1753955132
PSE55208,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khuzaa,31.3069,34.3572,1,Arab 48; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 July 2024, Israeli artillery shelled targets in Khuzaa (Khan Yunis, Gaza Strip), leaving one fatality and a number of injuries. Also, airstrikes targeted a house, killing 3 Palestinians. Total fatalities were 4.",4,,1753955132
PSE55095,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza,31.5045,34.4743,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 July 2024, Israeli artillery struck a group of people at Abdel-Aal junction in Al Jalaa Street of Gaza City (Gaza Strip), leaving 5 fatalities and 10 injuries.",5,,1759790002
PSE55077,7/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - West,31.4525,34.3756,1,Quds News Network; Twitter,New media-National,"On 1 July 2024, Israeli helicopters opened fire in An Nusayrat - West (Deir El Balah, Gaza Strip). Casualties unknown. Also, warplanes struck a house, injuring a number of Palestinians.",0,,1753955132
