event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE47705,3/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Al Ghad (Jordan); Ma'an News Agency; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 March 2024, Israeli warplanes struck a house in Al Burayj refugee camp (Deir El Balah, Gaza Strip), killing 10 Palestinians and injuring a number of others.",10,,1753955113
PSE47760,3/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Ma'an News Agency,National,"On 1 March 2024, Israeli warplanes struck a house in An Nusayrat refugee camp (Deir El Balah, Gaza Strip). Casualties unknown.",0,,1753955113
PSE47839,3/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Deir al Balah,31.4178,34.3503,1,Arab 48; Newpress; Quds News Network; Twitter,New media-National,"On 1 March 2024, Israeli warplanes struck targets in Abu Arif street in Deir al Balah city (Deir El Balah, Gaza Strip), leaving 11 fatalities.",11,,1753955113
PSE47847,3/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Deir al Balah Camp,31.4249,34.34,2,Ma'an News Agency; PLO Negotiations Affairs Department; Quds News Network; Twitter,Other-New media,"On 1 March 2024, Israeli warplanes struck targets and a house east of Deir El Balah, coded to Deir al Balah Camp (Deir al Balah, Gaza Strip), leaving 3 fatalities and a number of injuries. Meanwhile, artillery and tanks shelled targets in the same area.",3,,1765850627
PSE47918,3/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Hamad,31.3749,34.3193,1,Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 March 2024, Israeli warplanes struck targets including a passing car, gathering, and a school hosting displaced people in Hamad city (Khan Yunis, Gaza Strip), leaving 6 fatalities.",6,,1753955113
PSE48018,3/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Jabalya Camp,31.536,34.4907,2,Quds News Network; Twitter,New media-National,"On 1 March 2024, Israeli warplanes struck targets west of Mukhayyam Jabalya camp (North Gaza, Gaza Strip), killing a Palestinian and injuring a number of other persons.",1,,1753955113
PSE48054,3/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Shokat as Sufi,31.2586,34.2824,1,Newpress; Quds News Network; Twitter,New media-National,"On 1 March 2024, Israeli warplanes struck houses south of Rafah in Shokat as Sufi (Rafah, Gaza Strip), causing fatalities and injuries. Unspecified number of fatalities coded as 3.",3,,1753955113
PSE47796,3/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Hanoun,31.5405,34.5402,1,Arab 48; Ma'an News Agency; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 March 2024, Israeli warplanes struck a house in Beit Hanoun (North Gaza, Gaza Strip), leaving an unspecified number of fatalities and injuries. Fatalities coded as 3.",3,,1753955113
PSE47732,3/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Al Mughraqa,31.4675,34.4097,1,Ma'an News Agency; Palestine News and Information Agency,National,"On 1 March 2024, Israeli UAVs opened fire in Al Mughraqa (Gaza City, Gaza Strip), killing a Palestinian.",1,,1753955113
PSE48084,3/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Yibna,31.2842,34.2482,1,Ma'an News Agency; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 March 2024, Israeli warplanes struck a house in Yibna refugee camp (Rafah, Gaza Strip), killing a child and injuring several persons.",1,,1753955113
