event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE56699,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Shujaiyya,31.4988,34.4699,2,PLO Negotiations Affairs Department; Quds News Network; Twitter,Other-New media,"On 1 August 2024, Israeli artillery and tanks shelled targets east of Gaza City, coded to Gaza - Shujaiyya (Gaza City, Gaza Strip). 3 Palestinians were killed at the junction of Al Shujaiyya east of Gaza city.",3,,1759790002
PSE56708,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Arab 48; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 August 2024, Israeli warplanes struck a target at al-Ishrin street in An Nusayrat Camp (Deir El Balah, Gaza Strip), leaving 5 fatalities and a number of injuries. Also, 3 Palestinians were killed in a airstrike that targeted a gathering in the camp. Total fatalities were 8.",8,,1753955132
PSE56715,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Maen,31.336,34.3172,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 August 2024, Israeli warplanes struck a house in Khan Yunis - Maen (Khan Yunis, Gaza Strip), leaving injuries.",0,,1753955132
PSE56734,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya - Al Salateen,31.5558,34.4814,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 August 2024, Israeli warplanes struck a house in Beit Lahiya - Al Salateen (North Gaza, Gaza Strip), leaving one fatality and a number of injuries.",1,,1753955132
PSE56735,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya - Atatra,31.5594,34.4875,1,Newpress; Twitter,New media-National,"On 1 August 2024, Israeli warplanes struck a house in Beit Lahiya - Atatra (North Gaza, Gaza Strip), leaving one fatality and a number of injuries.",1,,1753955132
PSE56736,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - As Sater,31.3637,34.3228,1,Arab 48; Quds News Network; Twitter,New media-National,"On 1 August 2024, an Israeli UAV struck a target in Khan Yunis - As Sater (Khan Yunis, Gaza Strip), killing a Palestinian woman.",1,,1753955132
PSE56737,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,2,Arab 48; Quds News Network; Twitter,New media-National,"On 1 August 2024, Israeli warplanes struck a house east of An Nusayrat Camp (Deir El Balah, Gaza Strip), killing one Palestinian and injuring 3 more.",1,,1753955132
PSE56747,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Sheikh Radwan,31.5349,34.4667,1,Arab 48; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 August 2024, Israeli warplanes struck a house in Gaza - Sheikh Radwan (Gaza City, Gaza Strip), leaving at least 2 fatalities and a number of injuries.",2,,1759790002
PSE56759,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - North,31.4591,34.3923,1,Quds News Network; Twitter,New media-National,"On 1 August 2024, Israeli warplanes struck a house in Al Mufti land in An Nusayrat - North (Deir El Balah, Gaza Strip), leaving a number of fatalities. Unspecified fatalities coded as 3.",3,,1753955132
PSE56768,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Tal as Sultan,31.3098,34.2414,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 August 2024, an Israeli UAV struck a target near Bir Kenda in Tal as Sultan (Rafah, Gaza Strip), leaving 2 fatalities. Also, 3 Palestinians were killed in a separate airstrike in Tal as Sultan. Total fatalities were 5.",5,,1762829569
PSE56701,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Quds News Network; Twitter,New media-National,"On 1 August 2024, Israeli UAVs opened fire in Al Burayj Camp (Deir El Balah, Gaza Strip), leaving injuries. Also, the artillery shelled targets in the camp [casualties unknown].",0,,1753955132
PSE56745,8/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Az Zaytun,31.4964,34.4522,1,Arab 48; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 August 2024, Israeli warplanes struck targets near the Kuwait roundabout in Gaza - Az Zaytun (Gaza City, Gaza Strip), killing 2 Palestinians and injuring a number of others. Also, the artillery shelled targets in the same area [casualties unknown]. Fatalities coded at least 2.",2,,1759790002
PSE56703,8/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 August 2024, Israeli warplanes struck a house in Al Burayj Camp (Deir El Balah, Gaza Strip), killing 2 Palestinians and injuring a number of others.",2,,1753955132
PSE56728,8/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat - North,31.4591,34.3923,1,Newpress; Palestine News and Information Agency; Twitter,New media-National,"On 2 August 2024, Israeli warplanes struck a house in Al Mufti land in An Nusayrat - North (Deir El Balah, Gaza Strip). Casualties unknown. Also, the artillery shelled targets in the same area. Casualties unknown.",0,,1753955132
PSE56739,8/2/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Bani Suheila,31.3424,34.325,1,Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 2 August 2024, Israeli warplanes struck a house in Bani Suheila (Khan Yunis, Gaza Strip), killing a Palestinian and injuring 2 more.",1,,1753955132
