Incident ID,Date,Display Date,Town/City,Location Name,Location Type,Lat,Lon,Display Latitude,Display Longitude,Category,Incident Type,Incident Tags,Verification,Media Link,Source Merged,Display Sources,Display Visual Evidence
31007-95308,10/7/2023,7-Oct-23,Jabalia,,,31.529396,34.479741,31.5294,34.47974,Infrastructure,"airstrike, journalist",Airstrike | Attack on journalists,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0001-october-7-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0001-october-7-2023/', 'text': 'airwars.org'}",
31007-40549,10/7/2023,7-Oct-23,Al-Nuseirat,,,31.450065,34.392934,31.45006,34.39293,Infrastructure,"airstrike, journalist",Airstrike | Attack on journalists,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0019a-october-7-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0019a-october-7-2023/', 'text': 'airwars.org'}",
31010-93604,10/10/2023,10-Oct-23,Gaza City,,Residential Building,31.52413645,34.43660528,31.52414,34.43661,Infrastructure,"airstrike, journalist",Airstrike | Attack on journalists,CONFIRMED,https://t.me/ShehabTelegram/400867,https://airwars.org/civilian-casualties/ispt0102p-october-10-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0102p-october-10-2023/', 'text': 'airwars.org'}",https://t.me/ShehabTelegram/400867
31010-97531,10/10/2023,10-Oct-23,Jabalia,,Residential Building,31.542524,34.489082,31.54252,34.48908,Infrastructure,"airstrike, journalist",Airstrike | Attack on journalists,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0077-october-10-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0077-october-10-2023/', 'text': 'airwars.org'}",
31011-94417,10/11/2023,11-Oct-23,Rafah,,Residential Building,31.2852875,34.2494632,31.28529,34.24946,Infrastructure,"airstrike, journalist",Airstrike | Attack on journalists,CONFIRMED,,"https://airwars.org/civilian-casualties/ispt0134f-october-11-2023/, https://airwars.org/civilian-casualties/ispt0134f-october-11-2023/","{'url': 'https://airwars.org/civilian-casualties/ispt0134f-october-11-2023/', 'text': 'airwars.org'} | {'url': 'https://airwars.org/civilian-casualties/ispt0134f-october-11-2023/', 'text': 'airwars.org'}",
31012-20074,10/12/2023,12-Oct-23,Jabalia,Al Awda Street/Al-Nuzha Street,Residential Building,31.526394,34.489921,31.52639,34.48992,Infrastructure,"airstrike, journalist",Airstrike | Attack on journalists,CONFIRMED,https://archive.md/fIneC,https://airwars.org/civilian-casualties/ispt0135-october-12-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0135-october-12-2023/', 'text': 'airwars.org'}",https://archive.md/fIneC
31013-14743,10/13/2023,13-Oct-23,Gaza City,,Residential Building,31.516667,34.45,31.51667,34.45,Infrastructure,"airstrikes, journalist",Airstrike | Attack on journalists,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0174-october-13-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0174-october-13-2023/', 'text': 'airwars.org'}",
31013-17082,10/13/2023,13-Oct-23,Beit Lahia,,Residential Building,31.544243,34.5104,31.54424,34.5104,Infrastructure,"airstrike, journalist",Airstrike | Attack on journalists,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0184-october-13-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0184-october-13-2023/', 'text': 'airwars.org'}",
31015-15013,10/15/2023,15-Oct-23,Khan Younis,,Residential Building,31.32862,34.300047,31.32862,34.30005,Infrastructure,"airstrike, family_journalist",Targeting journalist's family | Airstrike,CONFIRMED,https://www.facebook.com/aseer.ramallah/posts/pfbid02Y15e9WELVRjCx7gUZgriNSWskrdzdWucLDTZQAGG5iN31SEKkwjAkFokn8zyo8Tjl,https://airwars.org/civilian-casualties/ispt0219-october-15-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0219-october-15-2023/', 'text': 'airwars.org'}",https://www.facebook.com/aseer.ramallah/posts/pfbid02Y15e9WELVRjCx7gUZgriNSWskrdzdWucLDTZQAGG5iN31SEKkwjAkFokn8zyo8Tjl
31016-94034,10/16/2023,16-Oct-23,Khan Younis,,Residential Building,31.346149,34.303899,31.34615,34.3039,Infrastructure,"airstrike, journalist",Airstrike | Attack on journalists,CONFIRMED,,"https://t.me/ShehabTelegram/403661, https://www.konhaber.com/guncel/filistinli_yazar_abdullah_al_akkad_ve_ailesi_vefat_etti-1922206h","{'url': 'https://t.me/ShehabTelegram/403661', 'text': 'ShehabTelegram'} | {'url': 'https://www.konhaber.com/guncel/filistinli_yazar_abdullah_al_akkad_ve_ailesi_vefat_etti-1922206h', 'text': 'konhaber.com'}",
31016-33103,10/16/2023,16-Oct-23,Gaza City,,Residential Building,31.505085,34.461535,31.50509,34.46153,Infrastructure,"airstrike, journalist",Airstrike | Attack on journalists,CONFIRMED,,https://airwars.org/civilian-casualties/ispt0238-october-16-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0238-october-16-2023/', 'text': 'airwars.org'}",
31016-39501,10/16/2023,16-Oct-23,Gaza City,,Residential Building,31.485479,34.444885,31.48548,34.44488,Infrastructure,"airstrike, journalist",Airstrike | Attack on journalists,CONFIRMED,https://www.facebook.com/paliraqcom/posts/pfbid0cMaLfJ5SK66c9maSL8ePkZSFniVXofuqYD31ynnFHXWtzSyqUa1UimuYDhtXfiKvl,https://airwars.org/civilian-casualties/ispt0244-october-16-2023/,"{'url': 'https://airwars.org/civilian-casualties/ispt0244-october-16-2023/', 'text': 'airwars.org'}",https://www.facebook.com/paliraqcom/posts/pfbid0cMaLfJ5SK66c9maSL8ePkZSFniVXofuqYD31ynnFHXWtzSyqUa1UimuYDhtXfiKvl
