Incident ID,Date,Display Date,Town/City,Location Name,Location Type,Lat,Lon,Display Latitude,Display Longitude,Category,Incident Type,Incident Tags,Verification,Media Link,Source Merged,Display Sources,Display Visual Evidence
40211-29824,2/11/2024,11-Feb-24,Khan Younis,,,31.34410785,34.30927277,31.34411,34.30927,Medical,"field_hospital , medical_obstruction",Attack on field hospital,CONFIRMED,,https://imemc.org/article/day-127-update-dozens-of-palestinians-killed-in-various-parts-of-gaza/,"{'url': 'https://imemc.org/article/day-127-update-dozens-of-palestinians-killed-in-various-parts-of-gaza/', 'text': 'imemc.org'}",
40205-54715,2/5/2024,5-Feb-24,Khan Younis,,,31.34771271,34.29676786,31.34771,34.29677,Medical,"shelter , evacuation",Hospital evacuation order,CONFIRMED,https://x.com/QudsNen/status/1754492016048619780,,,https://x.com/QudsNen/status/1754492016048619780
40205-02391,2/5/2024,5-Feb-24,Khan Younis,,,31.34771271,34.29676786,31.34771,34.29677,Medical,"evacuation , medical_infrastructure",Hospital evacuation order,CONFIRMED,,"https://www.middleeastmonitor.com/20240206-israel-forces-detain-senior-staff-at-gazas-al-amal-hospital/, https://english.wafa.ps/Pages/Details/141368, https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-113 ","{'url': 'https://www.middleeastmonitor.com/20240206-israel-forces-detain-senior-staff-at-gazas-al-amal-hospital/', 'text': 'middleeastmonitor.com'} | {'url': 'https://english.wafa.ps/Pages/Details/141368', 'text': 'english.wafa.ps'} | {'url': 'https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-113', 'text': 'ochaopt.org'}",
31204-71677,12/4/2023,4-Dec-23,Az-Zawayda,,,31.4432234,34.360007,31.44322,34.36001,Medical,medical_worker_killed,Attack on medical workers,CONFIRMED,,"https://www.facebook.com/paldoctors/posts/pfbid02W1FSmNitHuBRR8qh2VeULq7JJWFpFCyGtyesoo6u514fdwRc5pwmmYjG5iGXsAqPl?rdid=rzW1idIryLIezmlL, https://gazahcsector.palestine-studies.org/ar/node/747, https://healthcareworkerswatch.org/wp-content/uploads/2024/09/3.-HWW-Update-on-killed-HCWs-in-Palestine-September-20-2024.pdf, https://x.com/Gaza_Shaheed/status/1734150033912528997 ","{'url': 'https://www.facebook.com/paldoctors/posts/pfbid02W1FSmNitHuBRR8qh2VeULq7JJWFpFCyGtyesoo6u514fdwRc5pwmmYjG5iGXsAqPl?rdid=rzW1idIryLIezmlL', 'text': 'facebook.com'} | {'url': 'https://gazahcsector.palestine-studies.org/ar/node/747', 'text': 'gazahcsector.palestine-studies.org'} | {'url': 'https://healthcareworkerswatch.org/wp-content/uploads/2024/09/3.-HWW-Update-on-killed-HCWs-in-Palestine-September-20-2024.pdf', 'text': 'healthcareworkerswatch.org'} | {'url': 'https://x.com/Gaza_Shaheed/status/1734150033912528997', 'text': 'Gaza_Shaheed'}",
31009-83107,10/9/2023,9-Oct-23,Gaza City,Shifa Medical Complex vicinity,Hospital,31.52397705,34.44439526,31.52398,34.4444,Medical,attack_vicinity,Attack on hospitals and vicinity,CONFIRMED,https://twitter.com/hamdahsalhut/status/1711301863046267046,,,https://twitter.com/hamdahsalhut/status/1711301863046267046
40711-14425,7/11/2024,11-Jul-24,Gaza City,Shifa Medical Complex vicinity,Hospital,31.52427935,34.44315133,31.52428,34.44315,Medical,attack_vicinity,Attack on hospitals and vicinity,MOST LIKELY,,https://t.me/QudsN/433521,"{'url': 'https://t.me/QudsN/433521', 'text': 'QudsN'}",
31231-62807,12/31/2023,31-Dec-23,Khan Younis,Nasser Hospital vicinity,Hospital,31.34688904,34.29235347,31.34689,34.29235,Medical,attack_vicinity,Attack on hospitals and vicinity,CONFIRMED,https://x.com/PalinfoAr/status/1741440675109798326,,,https://x.com/PalinfoAr/status/1741440675109798326
40214-33760,2/14/2024,14-Feb-24,Khan Younis,Nasser Hospital,Hospital,31.34688904,34.29235347,31.34689,34.29235,Medical,evacuation_prevented,Prevention of hospital evacuation,MOST LIKELY,https://t.me/AlarabyTelevision/68302,https://x.com/ShehabAgency/status/1757754997830263127,"{'url': 'https://x.com/ShehabAgency/status/1757754997830263127', 'text': 'ShehabAgency'}",https://t.me/AlarabyTelevision/68302
40327-61044,3/27/2024,27-Mar-24,Khan Younis,Nasser Hospital vicinity,Hospital,31.34688904,34.29235347,31.34689,34.29235,Medical,attack_vicinity,Attack on hospitals and vicinity,MOST LIKELY,https://x.com/i/status/1773011638909550697,https://t.me/AlarabyTelevision/80305,"{'url': 'https://t.me/AlarabyTelevision/80305', 'text': 'AlarabyTelevision'}",https://x.com/i/status/1773011638909550697
40330-23149,3/30/2024,30-Mar-24,Khan Younis,Nasser Hospital vicinity,Hospital,31.34688904,34.29235347,31.34689,34.29235,Medical,attack_vicinity,Attack on hospitals and vicinity,MOST LIKELY,,https://t.me/QudsN/387718,"{'url': 'https://t.me/QudsN/387718', 'text': 'QudsN'}",
