event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE39654,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis,31.3502,34.3081,1,Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 November 2023, Israeli military airplanes struck 2 houses in Khan Yunis city (Khan Yunis, Gaza Strip). At least 5 persons were killed and more than 50 Palestinians were injured, including women and children.",5,,1753954955
PSE39656,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Bani Suheila,31.3424,34.325,1,Palestine News and Information Agency; Quds News Network,National,"On 1 November 2023, Israeli military airplanes carried out belt of fire airstrikes in al-Zannah area of Bani Suheila (Khan Yunis, Gaza Strip). At least 12 persons were killed in al-Zannah and Al Qararah after hitting 2 houses [fatalities split between Bani Suheila and Al Qararah, 6 fatalities coded for each].",6,,1753954955
PSE39657,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Al Qararah,31.3739,34.3409,1,Palestine News and Information Agency,National,"On 1 November 2023, Israeli military airplanes carried out belt of fire airstrikes in Al Qararah (Khan Yunis, Gaza Strip). At least 12 persons were killed in al-Zannah and Al Qararah after hitting 2 houses [fatalities split between Bani Suheila and Al Qararah, 6 fatalities coded for each].",6,,1753954955
PSE39682,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Shujaiyya,31.4988,34.4699,2,PLO Negotiations Affairs Department,Other,"On 1 November 2023, Israeli artillery and tanks struck targets east of Gaza (coded to Gaza - Shujaiyya, Gaza Strip). Casualties unknown.",0,,1759789988
PSE39683,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Bani Suheila,31.3424,34.325,2,PLO Negotiations Affairs Department; Quds News Network,Other-National,"On 1 November 2023, Israeli artillery and tanks struck targets east of Khan Yunis (coded as Bani Suheila, Gaza Strip). Casualties unknown.",0,,1753954955
PSE39693,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - West (Municipal Stadium),31.3484,34.2961,2,PLO Negotiations Affairs Department; Quds News Network,Other-National,"On 1 November 2023, Israeli warships struck targets west of Khan Yunis (coded as Khan Yunis - West (Municipal Stadium), Gaza Strip). Casualties unknown.",0,,1753954955
PSE39699,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Maen,31.336,34.3172,1,Newpress; Twitter,New media-National,"On 1 November 2023, Israeli military airplanes struck a house in Khan Yunis - Maen (Khan Yunis, Gaza Strip). Several persons were injured.",0,,1753954955
PSE39660,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Palestine News and Information Agency,National,"On 1 November 2023, Israeli military airplanes struck a passing car in An Nusayrat refugee camp (Deir El Balah, Gaza Strip). 2 persons were killed and several others were injured.",2,,1753954955
PSE39665,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Az Zawayda,31.4284,34.366,1,Palestine News and Information Agency,National,"On 1 November 2023, Israeli military airplanes struck a house in Az Zawayda (Deir El Balah, Gaza Strip). 8 persons were killed.",8,,1767742766
PSE39677,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),Journalists (Palestine); Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Guardian (United Kingdom); International Federation of Journalists; Palestine News and Information Agency; Quds News Network,Other-National,"On 1 November 2023, Israeli military artillery struck houses in An Nusayrat refugee camp (Deir El Balah, Gaza Strip) several times throughout the day. At least 8 civilians were killed, including 1 journalist, and several others injured.",8,,1757975700
PSE39679,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,2,Quds News Network,National,"On 1 November 2023, Israeli artillery and tanks struck targets east of Al Burayj (Deir El Balah, Gaza Strip). Casualties unknown.",0,,1753954955
PSE39689,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Musaddar,31.4105,34.378,2,PLO Negotiations Affairs Department; Quds News Network,Other-National,"On 1 November 2023, Israeli warships struck targets west of Deir El Balah (coded to Al Musaddar, Gaza Strip). Casualties unknown.",0,,1765850627
PSE39669,11/1/2023,2023,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,North Gaza,,Beit Lahiya,31.5541,34.5016,1,Quds News Network,National,"On 1 November 2023, Israeli military airplanes carried out airstrikes on the outskirts of the Indonesian Hospital in Beit Lahiya (North Gaza, Gaza Strip). Casualties unknown.",0,,1753954955
