event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
PSE60456,10/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,Al Burayj,31.4394,34.4031,1,Arab 48; Dunia Al Watan; Newpress; Quds News Network; Twitter,New media-National,"On 1 October 2024, at around 16:51, Israeli warplanes struck a killed 3 children at the entrance of Al Burayj Camp (Deir El Balah, Gaza Strip).",3,,1753956638
PSE60492,10/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Deir El Balah,,An Nusayrat,31.4486,34.3925,1,Ma'an News Agency; Palestine News and Information Agency; Quds News Network,National,"On 1 October 2024, at approximately 13:00, Israeli warplanes struck a group of people in An Nusayrat Camp (Deir El Balah, Gaza Strip), killing 3 Palestinians and injuring 8 more.",3,,1753956638
PSE60601,10/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Shujaiyya,31.4988,34.4699,1,Arab 48; Ma'an News Agency; Newpress; Quds News Network; Twitter,New media-National,"On 1 October 2024, at approximately 22:25, Israeli warplanes struck a house at Nazir street in Gaza - Shujaiyya (Gaza City, Gaza Strip), killing 8 Palestinians.",8,,1759790002
PSE60659,10/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - West (Municipal Stadium),31.3484,34.2961,2,Dunia Al Watan; Newpress; Palestine News and Information Agency; Quds News Network; Twitter,New media-National,"On 1 October 2024, at approximately 13:40, Israeli warplanes struck a passing car west near Al Namsawi of Khan Yunis, coded to (Khan Yunis - West (Municipal Stadium), Gaza Strip), killing 6 Palestinians including a child.",6,,1753956638
PSE60794,10/1/2024,2024,1,Political violence,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Maen,31.336,34.3172,1,Arab 48; Quds News Network,National,"On 1 October 2024, at approximately 20:21, Israeli artillery shelled the Khan Yunis - Maen (Khan Yunis, Gaza Strip). Unspecified number of Palestinians were killed [coded as 3].",3,,1753956638
PSE60544,10/1/2024,2024,1,Political violence,Violence against civilians,Attack,Military Forces of Israel (2022-),,8,Civilians (Palestine),Health Workers (Palestine); Refugees/IDPs (Palestine),7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Nezarim,31.484,34.4056,2,Arab 48; Israeli Defense Forces; Jerusalem Post; Palestine News and Information Agency; Twitter,Other-New media,"On 1 October 2024, at approximately 00:00, Israeli forces opened fire at displaced Palestinians who were attempting to return to the northern Gaza Strip near Gaza - Nezarim (Gaza City, Gaza Strip), leaving several injuries. Also, soldiers opened fire at Palestinian ambulances [there were no casualties].",0,,1753956638
PSE60577,10/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Gaza City,,Gaza - Az Zaytun,31.4964,34.4522,1,Dunia Al Watan; Palestine News and Information Agency; Quds News Network,National,"On 1 October 2024, at around 10:40, Israeli warplanes struck a house in al-Nadim Street in Gaza - Az Zaytun (Gaza City, Gaza Strip), killing 2 Palestinians and injuring others. Also, at approximately 6:29 and 22:45, Israeli artillery shelled targets in Az Zaytun [casualties unknown]. Total fatalities were at least 2.",2,,1759790002
PSE60647,10/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Khan Yunis,,Khan Yunis - Jourat Al-Loot,31.3314,34.3004,2,Arab 48; Quds News Network,National,"On 1 October 2024, at approximately 22:49, Israeli warplanes struck 2 houses in Al Manarah area south of Khan Yunis, coded to Khan Yunis - Jourat Al-Loot (Khan Yunis, Gaza Strip), Killing a Palestinian and leaving a number of injuries.",1,,1753956638
PSE60661,10/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Khirbet al Adas,31.2855,34.2714,2,Dunia Al Watan,National,"On 1 October 2024, Israeli forces killed 2 Palestinians, likely by airstrikes in Musabba area north of Rafah, coded to Khirbet al Adas (Rafah, Gaza Strip).",2,,1753956638
PSE60662,10/1/2024,2024,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,8,Civilians (Palestine),,7,78,Civilian targeting,275,Middle East,Palestine,Gaza Strip,Rafah,,Khirbet al Adas,31.2855,34.2714,1,Ma'an News Agency; Quds News Network,National,"On 1 October 2024, rescue teams recovered 3 bodies of Palestinians in Khirbet al Adas (Rafah, Gaza Strip), killed by airstrikes.",3,,1753956638
